0.35	0.002	2.12E-10
0.3502	0.002	2.63E-10
0.3504	0.002	1.41E-10
0.3506	0.002	2.98E-10
0.3508	0.002	3.73E-10
0.351	0.002	2.53E-10
0.3512	0.002	2.17E-10
0.3514	0.002	4.78E-10
0.3516	0.002	2.69E-10
0.3518	0.002	2.44E-10
0.352	0.002	4.34E-10
0.3522	0.002	4.21E-11
0.3524	0.002	4.48E-10
0.3526	0.002	1.38E-10
0.3528	0.002	5.40E-10
0.353	0.002	1.86E-10
0.3532	0.002	4.39E-11
0.3534	0.002	3.49E-10
0.3536	0.002	2.67E-10
0.3538	0.002	4.67E-10
0.354	0.002	1.70E-10
0.3542	0.002	7.01E-11
0.3544	0.002	5.11E-11
0.3546	0.002	9.23E-11
0.3548	0.002	2.31E-11
0.355	0.002	2.96E-10
0.3552	0.002	3.11E-11
0.3554	0.002	2.29E-10
0.3556	0.002	4.96E-10
0.3558	0.002	2.08E-10
0.356	0.002	8.36E-11
0.3562	0.002	1.45E-10
0.3564	0.002	2.14E-10
0.3566	0.002	1.35E-10
0.3568	0.002	2.62E-10
0.357	0.002	5.23E-10
0.3572	0.002	1.90E-10
0.3574	0.002	2.42E-10
0.3576	0.002	3.07E-10
0.3578	0.002	6.77E-10
0.358	0.002	1.99E-10
0.3582	0.002	4.30E-11
0.3584	0.002	3.58E-11
0.3586	0.002	2.22E-10
0.3588	0.002	2.09E-10
0.359	0.002	1.00E-10
0.3592	0.002	5.56E-10
0.3594	0.002	2.48E-10
0.3596	0.002	1.15E-11
0.3598	0.002	2.74E-10
0.36	0.002	2.12E-10
0.3602	0.002	2.75E-10
0.3604	0.002	3.40E-10
0.3606	0.002	2.83E-10
0.3608	0.002	1.75E-10
0.361	0.002	1.05E-10
0.3612	0.002	3.75E-10
0.3614	0.002	3.40E-13
0.3616	0.002	3.63E-10
0.3618	0.002	1.49E-10
0.362	0.002	5.83E-10
0.3622	0.002	2.99E-11
0.3624	0.002	8.25E-11
0.3626	0.002	1.09E-10
0.3628	0.002	2.43E-10
0.363	0.002	2.44E-10
0.3632	0.002	5.58E-11
0.3634	0.002	2.99E-10
0.3636	0.002	2.88E-10
0.3638	0.002	2.22E-10
0.364	0.002	2.07E-10
0.3642	0.002	2.97E-10
0.3644	0.002	4.71E-11
0.3646	0.002	5.58E-11
0.3648	0.002	2.65E-11
0.365	0.002	1.25E-10
0.3652	0.002	4.91E-11
0.3654	0.002	9.58E-11
0.3656	0.002	1.01E-10
0.3658	0.002	1.72E-10
0.366	0.002	2.77E-10
0.3662	0.002	5.50E-11
0.3664	0.002	3.34E-10
0.3666	0.002	1.16E-10
0.3668	0.002	1.57E-10
0.367	0.002	4.51E-11
0.3672	0.002	2.44E-10
0.3674	0.002	2.44E-10
0.3676	0.002	3.22E-10
0.3678	0.002	5.71E-10
0.368	0.002	1.77E-10
0.3682	0.002	5.34E-10
0.3684	0.002	1.67E-10
0.3686	0.002	1.88E-10
0.3688	0.002	2.27E-10
0.369	0.002	1.45E-10
0.3692	0.002	4.48E-10
0.3694	0.002	3.94E-10
0.3696	0.002	2.47E-10
0.3698	0.002	3.24E-10
0.37	0.002	2.56E-10
